 ,hygglo_name,matched_category_id,matched_category_name,matched_parent,similarity,alt1_id,alt1_name,alt1_sim,alt2_id,alt2_name,alt2_sim,override_category_id
8526,DJI Phantom,1140,DJI Phantom,Dronovi,0.7947,1138,DJI Mavic,0.6107,1139,DJI Mavic 3,0.5936,
9010,Photo Background with Pattern,1305,Jednobojna pozadina,Foto pozadine,0.7942,1307,Pozadina sa uzorkom,0.7906,1306,Pozadina sa motivom,0.7758,1307
8415,Other in Laundry & Cleaning,1370,Parna presa za odeću,Čišćenje i pranje,0.7936,1373,Ribač podova,0.7531,1376,Usisivač,0.7508,1378
8649,Karaoke,1452,Karaoke,Aktivnosti i zabava,0.7934,1476,Instrumentalni mikrofon,0.5378,1127,Mikrofon,0.5136,
8802,Other in Hockey,1565,Hokej,Zimski sportovi,0.7932,1525,Stoni hokej,0.7926,1573,Ostalo u zimskim sportovima,0.6277,
8947,Paintball,1523,Paintball,Igra i hobi,0.7921,1513,Bumper ball,0.6076,1533,Floorball,0.5728,
9395,Lawn leveling rake,1344,Rasipač za đubrivo,Održavanje travnjaka,0.7919,1340,Grabulje za nivelisanje,0.7822,1339,Trimer za ivice travnjaka,0.742,1340
9035,Photo Printer,1264,Foto štampač,Fotoaparati i kamere,0.7919,1165,3D štampač,0.7589,1170,Skener za fotografije,0.7339,
9422,E-car charger ,1587,Punjač baterija za vozila,Auto oprema,0.7915,1592,Punjač za električni auto,0.787,1601,Punjač baterija za vozila,0.7619,1592
453,Home,509,Ostalo u kući,Kuća i dom,0.7911,506,Mašine za šivenje,0.5985,1406,Ostalo u ličnoj nezi,0.5423,
8977,Roof Tent,1459,Šator 24-32 m²,Šatori i tende,0.7907,1460,Šator preko 32 m²,0.7817,1458,Šator 0-23 m²,0.7801,
8469,Aerial work platform,1193,Platforma za rad na visini,Građevinska mehanizacija,0.7903,1239,Radna platforma,0.6679,1350,Aerator sa šupljim klinovima,0.6529,
9417,Underwater Camera Bodies,1267,Tela kamera za ronjenje,Fotoaparati i kamere,0.7894,1293,Rigovi i ramena za kameru,0.5772,1292,Kamera na kablu,0.5651,
9521,Smart Speaker,1018,Pametni zvučnik,Elektronika,0.7892,1130,Prenosni zvučnik,0.6963,1127,Mikrofon,0.687,
8847,Other Hobby Vehicles,808,Ostala vozila,Vozila i oprema,0.7885,1518,Vozila za hobi,0.7645,1591,Autosedište,0.7257,1518
8629,Laser line level,1067,Laserski nivelator,Merni instrumenti,0.788,1066,Laserski daljinomer,0.7583,1075,Rotirajući laser,0.7007,
3977,Other in Sports,1539,Ostalo u sportu,Sportski rekviziti,0.7874,1537,Reket sportovi,0.7737,1534,Fudbal,0.71,
9401,Party combos,608,Party paketi,Proslave i događaji,0.7865,1417,Party rasveta,0.7118,1425,Party odeća,0.678,
3961,Exercise machines,1559,Šipka za zgibove,Trening i teretana,0.7857,1560,Prsluk sa tegovima,0.7735,1556,Sprave za vežbanje,0.7398,1556
9083,Yoga mats,1561,Yoga prostirka,Trening i teretana,0.7845,1558,Masaža,0.6938,1560,Prsluk sa tegovima,0.6092,
9370,Sailing clothes,1624,Jedriličarska odeća,Čamci i plovila,0.7844,1622,Čamac na vesla i dinghy,0.7513,1618,Prikolica za čamac,0.7483,
4656,Other in Toys,1400,Igračke,Oprema za decu,0.7842,1398,Prostirka za igru,0.7292,1179,Mašina za bušenje,0.6228,
2932,TV,1249,TV,Projektori i televizori,0.7842,1244,Media plejeri,0.7498,1247,Projekciono platno,0.7184,
8497,Other in Vehicles,808,Ostala vozila,Vozila i oprema,0.784,1627,Transporter za automobile,0.7532,1294,Nosač za automobil,0.7081,
9465,Lens Accessories,1276,DSLR objektivi,Objektivi,0.7835,1280,Oprema za objektive,0.7094,1274,Kinematografski prime objektivi,0.6946,1280
8848,Trampoline,1527,Trampolin,Igra i hobi,0.7835,1119,Paletni viljuškar,0.6483,1560,Prsluk sa tegovima,0.6317,
9260,Sweeping machine,1374,Parna mašina za čišćenje,Čišćenje i pranje,0.7823,1323,Čistač krova,0.7489,1371,Čistač odvoda,0.7303,1326
9180,Monochrome Photo Background,1305,Jednobojna pozadina,Foto pozadine,0.7821,1307,Pozadina sa uzorkom,0.6823,1306,Pozadina sa motivom,0.6742,
3911,Standard Bike,1503,Prikolica za teret na biciklu,Biciklizam,0.7818,1504,Nosač bicikla,0.7749,1638,Prikolica za motocikl,0.7616,
8989,Arcade game,1152,Arkadna mašina,Video igre i konzole,0.7814,1158,Ostalo u video igrama,0.7201,1154,Konzola,0.701,
8614,Tailgate Mounted Bike Rack,1503,Prikolica za teret na biciklu,Biciklizam,0.7811,1638,Prikolica za motocikl,0.7529,1629,Prikolica za motocikl,0.7393,
9397,Inverter,1015,Inverter,Elektronika,0.781,1191,Kompresor,0.5982,1275,Konverter,0.592,
9486,DJ Equipment Package Deals,1124,DJ oprema,Audio oprema i zvuk,0.7809,1125,Slušalice,0.581,1126,Luper,0.5757,
9487,Decks & Turntable,1200,Alat za decking,Podne obloge i pločice,0.7806,1625,Prikolica za čamac,0.6581,1295,Stege i hvatači,0.6507,1124
8462,Tent for six people,1459,Šator 24-32 m²,Šatori i tende,0.7805,1460,Šator preko 32 m²,0.7791,1458,Šator 0-23 m²,0.7305,
8960,Office,1174,Ostalo u kancelarijskim mašinama,Kancelarijske mašine,0.7801,1173,Rezač dokumenata,0.7554,1171,Štampač,0.7395,1269
2965,Headphones,1125,Slušalice,Audio oprema i zvuk,0.7798,1130,Prenosni zvučnik,0.7189,1132,Zvučnik,0.701,
299,Other in Electronics,210,Ostalo u elektronici,Elektronika,0.7797,1149,Mrežna oprema,0.6869,1145,Računarska oprema,0.685,
9355,Air blaster,1189,Vazdušni pištolj,Komprimovani vazduh,0.7792,1350,Aerator sa šupljim klinovima,0.6621,1191,Kompresor,0.602,
8520,Handheld Mic,1127,Mikrofon,Audio oprema i zvuk,0.7769,1476,Instrumentalni mikrofon,0.7579,1125,Slušalice,0.6687,
9175,Filter,1277,Filter za objektiv,Objektivi,0.7766,1228,Maska za zavarivanje,0.4999,1226,MIG aparat,0.4896,
4534,Extra Bed,1363,Pomoćni krevet,Stilizovanje i dekoracija,0.7764,1633,Prikolica s pokrivačem,0.5449,1427,Šank,0.5004,
1805,Other in Construction Machinery,1012,Radna rasveta,Građevinska oprema i alati,0.7764,1199,Ostalo u građevinskoj mehanizaciji,0.77,1196,Utovarivač,0.7484,1199
8952,Tarp,1116,Ostalo u glodanju,Glodanje i hoblovanje,0.7761,1290,Ostalo u blicevima i rasveti,0.7643,1241,Ostalo u skelama,0.7635,1502
9440,Camping trailer,1461,Ostalo u šatorima,Šatori i tende,0.7759,1490,Kolica za outdoor,0.7534,1459,Šator 24-32 m²,0.7523,1635
3994,Other in Sports and Leisure,1539,Ostalo u sportu,Sportski rekviziti,0.7748,1537,Reket sportovi,0.7609,1516,Stoni fudbal,0.7297,
9398,VHS-player,1250,VHS plejer,Projektori i televizori,0.7746,1243,DVD i Blu-ray,0.6304,308,Memorijske kartice,0.5747,
8516,Broadcast Microphone,1127,Mikrofon,Audio oprema i zvuk,0.774,1476,Instrumentalni mikrofon,0.6497,1133,Ostalo u zvuku,0.5601,
8528,DJI Spark,1141,DJI Spark,Dronovi,0.7735,1137,DJI Inspire,0.5089,1067,Laserski nivelator,0.497,
8740,Other in construction machinery,1012,Radna rasveta,Građevinska oprema i alati,0.7729,1199,Ostalo u građevinskoj mehanizaciji,0.761,1196,Utovarivač,0.7501,1199
3992,Other in travelling,1580,Ostalo u putovanjima,Putovanja i koferi,0.7727,1577,Koferi,0.702,1579,Putovanje s decom,0.7002,
9290,Freeride and allmountain skis,1570,Penjanje po snegu i ledu,Zimski sportovi,0.7724,1566,Skijaški roleri,0.7641,1564,Ekspedicione sanke,0.7595,1568
8461,Four Person Tent,1459,Šator 24-32 m²,Šatori i tende,0.7719,1460,Šator preko 32 m²,0.7658,1458,Šator 0-23 m²,0.7313,
9474,C-stand,1291,C-stalak,Stativi i rigovi,0.7715,1271,Skladišna jedinica,0.4242,1634,Ostalo u prikolicama,0.4224,
8792,Snowboard Boots,1568,Skijanje i snowboard,Zimski sportovi,0.7704,1571,Snowracer,0.7633,1570,Penjanje po snegu i ledu,0.7503,
8996,Laminate Cutter,1204,Rezač laminata,Podne obloge i pločice,0.7703,1039,Plazma rezač,0.6986,1044,Rezač pločica,0.6892,
8948,Camping furniture,1490,Kolica za outdoor,Kampovanje i outdoor,0.7693,1459,Šator 24-32 m²,0.7481,1486,Ruksak,0.7424,
8417,Costumes & Fancy Dress,1425,Party odeća,Odeća i kostimi,0.7687,1424,Kostimi i maskiranje,0.7467,1426,Ostalo u odeći,0.7351,1424
8523,Portable Speakers,1130,Prenosni zvučnik,Audio oprema i zvuk,0.7687,1125,Slušalice,0.7291,1132,Zvučnik,0.7081,
9436,Simulator equipment,1156,Simulator oprema,Video igre i konzole,0.7684,1600,Kolica za montažu,0.6664,1602,Auto alati,0.6395,
9255,Other in motorcycle,1639,Ostalo u motociklima,Motocikli i oprema,0.768,1638,Prikolica za motocikl,0.7432,1629,Prikolica za motocikl,0.7221,
4633,Tricycle,1503,Prikolica za teret na biciklu,Biciklizam,0.7677,1504,Nosač bicikla,0.7513,1506,Torba za transport bicikla,0.7183,1507
8720,Other Nintendo Consoles,1152,Arkadna mašina,Video igre i konzole,0.7675,1154,Konzola,0.7467,1158,Ostalo u video igrama,0.7425,1154
9006,Paper Cutter,1169,Rezač papira,Kancelarijske mašine,0.7674,1052,Mašina za graviranje,0.6642,1039,Plazma rezač,0.6617,
2915,Other in Computers,1151,Ostalo u računarima,Računari i oprema,0.7671,1145,Računarska oprema,0.7236,1148,Laptop,0.7045,
9138,Satellite instrument,1017,Satelitska oprema,Elektronika,0.7666,1055,Orbitalna brusilica,0.5494,1334,Teleskopske merdevine,0.5448,
8995,"Other in Flooring, Tiling & Carpeting",1201,Brusilica za podove,Podne obloge i pločice,0.7659,1053,Brusilica za podove,0.7466,1202,Mašina za skidanje podova,0.73,1207
8571,Snow Chains,1598,Lanci za sneg,Auto oprema,0.7655,1571,Snowracer,0.7602,1570,Penjanje po snegu i ledu,0.7548,
9361,Lawn mower,1344,Rasipač za đubrivo,Održavanje travnjaka,0.7654,1341,Kosilica,0.7052,1339,Trimer za ivice travnjaka,0.703,1341
3918,Tandem,1241,Ostalo u skelama,Skele i podupirači,0.7651,1116,Ostalo u glodanju,0.7624,1290,Ostalo u blicevima i rasveti,0.7321,1507
8727,PlayStation VR,1157,VR naočale,Video igre i konzole,0.765,1156,Simulator oprema,0.6297,1152,Arkadna mašina,0.574,
8840,Bike Helmet,1638,Prikolica za motocikl,Motocikli i oprema,0.7644,1504,Nosač bicikla,0.7572,1637,Motociklistička oprema,0.7555,1509
8910,Golf Clubs,1535,Golf,Sportski rekviziti,0.7644,1537,Reket sportovi,0.409,1444,Beer pong,0.3977,
1817,Other in Ventilation,105,Ventilacija i grejanje,Građevinska oprema i alati,0.7643,1191,Kompresor,0.7473,1192,Ostalo u komprimovanom vazduhu,0.7075,
8911,Other in Golf,1535,Golf,Sportski rekviziti,0.7642,1539,Ostalo u sportu,0.4716,1537,Reket sportovi,0.4688,
2983,Tablets,1164,Tablet,Mobilni telefoni i tableti,0.7637,1159,Oprema za mobilne i tablete,0.7472,1161,Mobilni telefon,0.6378,
1764,Other in Paint,1110,Ostalo u farbanju,Krečenje i tapete,0.7632,1100,Mešalica boje,0.7328,1104,Nogari za farbanje,0.727,
2966,Other in Sound,1419,Zvuk,"Zvuk, rasveta i bina",0.7624,1133,Ostalo u zvuku,0.724,1132,Zvučnik,0.7031,1133
467,Other in Children's Things,1402,Ostalo za decu,Oprema za decu,0.7621,1398,Prostirka za igru,0.7484,1395,Dečija odeća,0.721,
8556,Accessories For Camping Stoves,1346,Bure za spaljivanje,Baštenski alati,0.7617,1386,Sokovnik na paru,0.6816,1486,Ruksak,0.653,1489
9418,Microphone stand,1127,Mikrofon,Audio oprema i zvuk,0.7617,1476,Instrumentalni mikrofon,0.6946,1133,Ostalo u zvuku,0.5469,1480
8729,Smartphone VR Glasses,1157,VR naočale,Video igre i konzole,0.7615,1161,Mobilni telefon,0.5165,1164,Tablet,0.5114,
2924,Thermal Imaging Camera,1080,Termovizijska kamera,Merni instrumenti,0.7615,1065,IC termometar,0.6083,1258,Polaroid kamera,0.5795,
8972,Water Play,1528,Vodene igre,Igra i hobi,0.7615,1552,Ostalo u vodenim sportovima,0.7308,1549,Odeća za vodene sportove,0.7213,
8486,Motorcycle Trailer,1638,Prikolica za motocikl,Motocikli i oprema,0.7613,1639,Ostalo u motociklima,0.7355,1629,Prikolica za motocikl,0.7268,
8508,Folding Bed,1363,Pomoćni krevet,Stilizovanje i dekoracija,0.761,1633,Prikolica s pokrivačem,0.6005,1108,Kutija za valjak,0.5178,
9238,Solar Charger,1163,Solarni punjač,Mobilni telefoni i tableti,0.7605,1019,Baterije i punjači,0.7273,1601,Punjač baterija za vozila,0.6599,
8456,Ice Hockey Skates,1565,Hokej,Zimski sportovi,0.7603,1525,Stoni hokej,0.6675,1567,Klizaljke,0.6471,1567
8411,Party Activities,608,Party paketi,Proslave i događaji,0.7588,609,Grejalice i pečurke,0.6532,610,Ostalo za proslave,0.6444,
1749,Orbital Sander,1055,Orbitalna brusilica,Brušenje i poliranje,0.7586,1334,Teleskopske merdevine,0.5301,1017,Satelitska oprema,0.48,
8602,Laminating Machine,1322,Visokotlačni perač,Baštenske mašine,0.7585,1167,Mašina za laminiranje,0.7414,1315,Alati za čišćenje oluka,0.7082,1167
1762,Paint Trestles,1236,Nogari za farbanje,Skele i podupirači,0.7583,1104,Nogari za farbanje,0.7203,1110,Ostalo u farbanju,0.7048,1104
8644,Trestle tables,1114,Stol za glodalicu,Glodanje i hoblovanje,0.758,1431,Sklopivi stolovi,0.7125,1430,Paket stolovi i stolice,0.6663,1431
9302,Others in longboard & skateboard,1519,Longboard i skejtbord,Igra i hobi,0.7579,1546,Paddleboard,0.6026,1545,Kiteboarding,0.6,
2211,Pressure Washer,1221,Tester pritiska,Vodoinstalaterski alati,0.7575,1371,Čistač odvoda,0.6689,1374,Parna mašina za čišćenje,0.6627,1322
8985,Folding bike,1503,Prikolica za teret na biciklu,Biciklizam,0.7569,1629,Prikolica za motocikl,0.7098,1506,Torba za transport bicikla,0.7048,1507
9041,Accessories to National costume,1424,Kostimi i maskiranje,Odeća i kostimi,0.7568,1426,Ostalo u odeći,0.7003,1425,Party odeća,0.6945,
8609,Jump Starter,1593,Jump starter,Auto oprema,0.7568,1607,Jump starter,0.7564,1515,Fly jumpers,0.5639,
9030,Monitor,1150,PC monitori,Računari i oprema,0.7567,306,Monitori,0.7376,1390,Bebi monitor,0.6761,
8961,Studio,1272,Studio,Prostori,0.7562,1052,Mašina za graviranje,0.5276,1611,Rampa,0.5189,
2927,Other in Film & Photography,1256,Filmska kamera,Fotoaparati i kamere,0.7559,1260,Ostale kamere,0.7436,1255,Digitalna kino kamera,0.7434,310
9017,Soft Shell Bike Travel Case,1506,Torba za transport bicikla,Biciklizam,0.7559,1503,Prikolica za teret na biciklu,0.739,1574,Kofer za bicikl,0.679,
8976,Cello,1483,Violina,Muzički instrumenti,0.7556,1484,Duvački instrument,0.7517,1477,Klavijatura,0.735,1471
3313,Smoke Machine,1418,Mašina za dim,"Zvuk, rasveta i bina",0.7556,1326,Mašina za metenje,0.6532,1312,Mašina za drva,0.6463,
8686,Chocolate Fountain,1447,Fontana od čokolade,Aktivnosti i zabava,0.7548,1311,Pumpa za odvodnjavanje,0.4604,1451,Sladoled i slush mašine,0.4328,
8742,Drain Cleaners,1371,Čistač odvoda,Čišćenje i pranje,0.7545,1219,Savijač cevi,0.7035,1217,Rezač cevi,0.7024,
8419,Other in Clothes,1426,Ostalo u odeći,Odeća i kostimi,0.7543,1423,Čuvanje odeće,0.6956,1425,Party odeća,0.6705,
8812,Other in Outdoor Games,1522,Igre na otvorenom,Igra i hobi,0.7541,1516,Stoni fudbal,0.6752,1515,Fly jumpers,0.6534,
9048,Plumbing Bender,1219,Savijač cevi,Vodoinstalaterski alati,0.7535,1217,Rezač cevi,0.7509,1218,Ključ za cevi,0.6974,
8690,Personal Care,1406,Ostalo u ličnoj nezi,Lična nega,0.7533,1581,Štake,0.5069,1404,Epilacija,0.4924,
337,BBQ & Grill,1433,Roštilj,Ketering i kuhinja,0.7524,1439,Kolica za kobasice,0.7009,1441,Posuđe i pribor za jelo,0.58,
1787,Tool Box,1095,Kofer za alat,Ručni alati,0.7523,1091,Izvlakač,0.7377,1407,Kutije za selidbu,0.7329,
9473,DJI FPV,1136,DJI FPV,Dronovi,0.7505,1139,DJI Mavic 3,0.5955,1138,DJI Mavic,0.5938,
8785,Snow and Ice Ax,1358,Lopata za sneg,Baštenski alati,0.7504,1570,Penjanje po snegu i ledu,0.7363,1563,Oprema za lavine,0.7346,1570
9134,Caulking gun,1054,Toplotni pištolj,Brušenje i poliranje,0.7495,1215,Pištolj za klamerice,0.7115,1087,Pištolj za lepak,0.7003,1083
8586,Avalanche Kit,1563,Oprema za lavine,Zimski sportovi,0.7469,1598,Lanci za sneg,0.7421,1358,Lopata za sneg,0.7179,
9458,Camera Package Deals,1253,Kompaktni fotoaparat,Fotoaparati i kamere,0.7469,1265,Streaming oprema,0.707,1261,Torba za kameru,0.7007,305
9385,Robot Lawn Mower,1335,Detektor kablova za robotske kosilice,Održavanje travnjaka,0.7464,1310,Trimer za travu,0.6565,1213,Ostalo u mehanizaciji terena,0.6274,1341
9187,Patio Cleaner,1320,Čistač terasa,Baštenske mašine,0.7455,1373,Ribač podova,0.6981,1371,Čistač odvoda,0.6746,
8464,Three Person Tent,1458,Šator 0-23 m²,Šatori i tende,0.7454,1459,Šator 24-32 m²,0.7434,1460,Šator preko 32 m²,0.7428,
22213,Other in Garden Machinery ,1213,Ostalo u mehanizaciji terena,Mašine za uređenje terena,0.7452,1211,Svrdlo za zemlju,0.7393,1356,Kolica za baštu,0.7387,1328
8639,Patio Heater,105,Ventilacija i grejanje,Građevinska oprema i alati,0.7452,1320,Čistač terasa,0.6774,1386,Sokovnik na paru,0.6503,
8837,Other in Massage,1558,Masaža,Trening i teretana,0.7451,1561,Yoga prostirka,0.6397,1560,Prsluk sa tegovima,0.5547,
8951,Hammock Tent,1460,Šator preko 32 m²,Šatori i tende,0.7449,1459,Šator 24-32 m²,0.7274,1458,Šator 0-23 m²,0.7045,1458
9263,Dog Clipper,1412,Mašinica za šišanje pasa,Oprema za kućne ljubimce,0.7434,1415,Ostalo za kućne ljubimce,0.526,1039,Plazma rezač,0.493,
1734,Multimeter,1072,Multimetar,Merni instrumenti,0.7433,1069,Metar,0.5741,1038,Oscilirajući višenamenski alat / Multialat,0.5641,
4535,Sewing Machine,506,Mašine za šivenje,Kuća i dom,0.7433,1322,Visokotlačni perač,0.6719,1312,Mašina za drva,0.6347,
8733,Color Sensor,1262,Senzor boja,Fotoaparati i kamere,0.743,1102,Merač boja,0.629,1101,NCS karta boja,0.535,
8659,Overhead Projector,1248,Slajd projektor,Projektori i televizori,0.7429,1247,Projekciono platno,0.725,1246,Projektor,0.7199,1245
4532,Paintings,1365,Slike,Stilizovanje i dekoracija,0.7426,1110,Ostalo u farbanju,0.6749,1100,Mešalica boje,0.6659,
1813,Air Purifier,1191,Kompresor,Komprimovani vazduh,0.7416,1371,Čistač odvoda,0.6629,1192,Ostalo u komprimovanom vazduhu,0.6524,105
8849,Bit Set,1176,Set bitova,Bušilice i šrafilice,0.7416,1182,Udarni ključ,0.4104,1096,Moment ključ,0.4096,
8628,Other Lenses,1276,DSLR objektivi,Objektivi,0.7415,1274,Kinematografski prime objektivi,0.708,1280,Oprema za objektive,0.6661,1281
8426,Metal Shears,1033,Makaze za metal,Testerisanje i sečenje,0.741,1034,Kružna testera za metal,0.699,1050,Precizna brusilica,0.649,
8460,Two Person tent,1460,Šator preko 32 m²,Šatori i tende,0.741,1459,Šator 24-32 m²,0.738,1461,Ostalo u šatorima,0.7255,1458
8657,Paella Pan & Griddle,1437,Paella tava,Ketering i kuhinja,0.7408,1436,Pića,0.5876,1177,Pikamer,0.5862,
9040,National costume for children,1422,Dečija odeća,Odeća i kostimi,0.7406,1424,Kostimi i maskiranje,0.6605,1395,Dečija odeća,0.6252,1424
8466,Five Person Tent,1459,Šator 24-32 m²,Šatori i tende,0.7395,1460,Šator preko 32 m²,0.7351,1458,Šator 0-23 m²,0.7243,
9510,Garden Sieve,406,Ostalo u bašti,Bašta,0.7393,1338,Baštenski valjak,0.7166,1356,Kolica za baštu,0.6969,1313
3971,Football,1516,Stoni fudbal,Igra i hobi,0.7389,1534,Fudbal,0.702,1513,Bumper ball,0.5559,1534
8852,Sun Protection Tent,1459,Šator 24-32 m²,Šatori i tende,0.7384,1460,Šator preko 32 m²,0.7242,1458,Šator 0-23 m²,0.7146,
8963,Storage unit,1271,Skladišna jedinica,Prostori,0.7383,1022,Razvodni ormar,0.617,1270,Parking i garaža,0.5023,
8695,Ultrasonic Cleaning,1375,Ultrazvučno čišćenje,Čišćenje i pranje,0.7376,1315,Alati za čišćenje oluka,0.6194,1371,Čistač odvoda,0.5853,
8548,Air Conditioning,1191,Kompresor,Komprimovani vazduh,0.7367,105,Ventilacija i grejanje,0.7162,1192,Ostalo u komprimovanom vazduhu,0.671,105
8637,Stone drilling machine,1212,Rezač kamena,Mašine za uređenje terena,0.7363,1049,Stona brusilica,0.688,1187,Mašina za bušenje kamena,0.6313,1187
8475,Bike Trailer,1638,Prikolica za motocikl,Motocikli i oprema,0.7362,1503,Prikolica za teret na biciklu,0.7334,1629,Prikolica za motocikl,0.7219,1503
1742,Angle grinder,1185,Rotacioni čekić,Bušilice i šrafilice,0.7361,1050,Precizna brusilica,0.6855,1606,Dizalica i stalci,0.6634,1046
8684,Suit,1426,Ostalo u odeći,Odeća i kostimi,0.735,1423,Čuvanje odeće,0.6475,1425,Party odeća,0.6037,
8946,Airsoft,1511,Airsoft,Igra i hobi,0.7344,1350,Aerator sa šupljim klinovima,0.7243,1189,Vazdušni pištolj,0.6769,
9364,Gutter cleaning tools,1315,Alati za čišćenje oluka,Baštenske mašine,0.7342,1371,Čistač odvoda,0.7219,1373,Ribač podova,0.703,
3913,Mountain Bike,1503,Prikolica za teret na biciklu,Biciklizam,0.7337,1504,Nosač bicikla,0.7253,1509,Ostalo u biciklizmu,0.7147,1507
9430,Humidifier,1191,Kompresor,Komprimovani vazduh,0.7333,1190,Crevo za komprimovani vazduh,0.6591,1311,Pumpa za odvodnjavanje,0.649,105
8692,Other Tableware,1431,Sklopivi stolovi,Nameštaj za proslave,0.7333,1114,Stol za glodalicu,0.6973,1237,Sto za tapete,0.6966,1441
9380,Wheel & tire tools,1613,Alati za točkove i gume,Alati za radionicu,0.7332,1602,Auto alati,0.6238,1185,Rotacioni čekić,0.6237,
1744,Drywall Sander,1051,Brusilica za suvi zid,Brušenje i poliranje,0.7329,1234,Lift za suvi zid,0.7091,1053,Brusilica za podove,0.5588,
8434,Oscillating Multi tool,1038,Oscilirajući višenamenski alat / Multialat,Testerisanje i sečenje,0.7329,1072,Multimetar,0.582,1073,Osciloskop,0.5439,
8412,Other in Light & Smoke,1421,Ostalo u rasveti i dimu,"Zvuk, rasveta i bina",0.7325,1418,Mašina za dim,0.718,1285,Ring svetlo,0.6575,
8495,Weed Burner,1346,Bure za spaljivanje,Baštenski alati,0.7323,1344,Rasipač za đubrivo,0.6115,1310,Trimer za travu,0.5877,1360
8612,Towbar/Hitch Mounted Bike rack,1503,Prikolica za teret na biciklu,Biciklizam,0.7321,1609,Dizalica za motocikl,0.729,1629,Prikolica za motocikl,0.7227,1588
8650,Serving Thermos,1386,Sokovnik na paru,Kuhinjski aparati,0.7318,1065,IC termometar,0.7198,1605,Indukcioni grejač,0.7162,1441
9042,Large Suitcase,1576,Specijalni kofer,Putovanja i koferi,0.7316,1575,Nosiljka za kućnog ljubimca,0.6855,1577,Koferi,0.6798,1577
9426,Knife sharpener,1382,Oštrač noževa,Kuhinjski aparati,0.7314,1039,Plazma rezač,0.6762,1040,Narezač,0.6712,
8521,Other in Microphone,1127,Mikrofon,Audio oprema i zvuk,0.7313,1476,Instrumentalni mikrofon,0.704,1133,Ostalo u zvuku,0.5559,
9388,Tiling package,1203,Paket za podove,Podne obloge i pločice,0.7306,1206,Paket za keramiku,0.6848,1201,Brusilica za podove,0.6594,1206
9228,Bubble Machine,1416,Mašina za balone,"Zvuk, rasveta i bina",0.7305,1446,Bazen sa mehurićima,0.6916,1462,Pumpica za balone,0.6725,
9261,Weeder,1338,Baštenski valjak,Održavanje travnjaka,0.7299,1112,Strug,0.7272,406,Ostalo u bašti,0.726,1360
9236,Pop rivet pliers,1185,Rotacioni čekić,Bušilice i šrafilice,0.7295,1089,Udarni odvijač,0.6471,1091,Izvlakač,0.6416,1090
1812,Heater,105,Ventilacija i grejanje,Građevinska oprema i alati,0.7293,1605,Indukcioni grejač,0.6947,1386,Sokovnik na paru,0.6848,
3323,Chairs For Styling,1429,Stolice za proslave,Nameštaj za proslave,0.729,1430,Paket stolovi i stolice,0.7119,1364,Nameštaj,0.6512,1364
3952,Amplifier,1469,Pojačivač,Muzički instrumenti,0.7289,1125,Slušalice,0.6995,1126,Luper,0.6971,
9292,BMX,1504,Nosač bicikla,Biciklizam,0.7286,1509,Ostalo u biciklizmu,0.7026,1555,Sobni bicikl,0.7025,1507
9520,Hair Removal ,1405,Stilizovanje kose,Lična nega,0.7277,1039,Plazma rezač,0.4826,1412,Mašinica za šišanje pasa,0.4396,1404
9184,"Teepee & Bell tent, 8+ ppl.",1459,Šator 24-32 m²,Šatori i tende,0.7276,1460,Šator preko 32 m²,0.7145,1458,Šator 0-23 m²,0.6985,
8437,Ice Cream and Slushy Machines,1451,Sladoled i slush mašine,Aktivnosti i zabava,0.7267,1325,Freza za panjeve,0.5909,1326,Mašina za metenje,0.5809,
332,Furniture,1430,Paket stolovi i stolice,Nameštaj za proslave,0.7265,1429,Stolice za proslave,0.7258,1396,Dečiji nameštaj,0.7129,1364
9118,Other in Personal Care,1406,Ostalo u ličnoj nezi,Lična nega,0.7263,1581,Štake,0.4815,1586,Ostalo u mobilnosti,0.474,
9301,Skateboards,1519,Longboard i skejtbord,Igra i hobi,0.7254,1545,Kiteboarding,0.599,1546,Paddleboard,0.5975,
3324,Other in Furniture,1430,Paket stolovi i stolice,Nameštaj za proslave,0.7253,1429,Stolice za proslave,0.7184,1431,Sklopivi stolovi,0.706,1364
8507,Pots and Pans,1440,Lonac za supu,Ketering i kuhinja,0.7252,1442,Dispenser za šlag,0.7137,1441,Posuđe i pribor za jelo,0.7033,1384
8873,Wheel Tools,1185,Rotacioni čekić,Bušilice i šrafilice,0.7245,1613,Alati za točkove i gume,0.7178,1600,Kolica za montažu,0.6957,1613
9522,Platform trolley,1120,Platforma za prevoz,Transport i dizanje,0.7244,1121,Kolica za teret,0.5844,1361,Kolica za prevoz,0.5777,
8613,Roof Mounted Bike Rack,1503,Prikolica za teret na biciklu,Biciklizam,0.7243,1638,Prikolica za motocikl,0.6878,1629,Prikolica za motocikl,0.6877,1588
9311,Construction rake,1209,Beton i armatura,Mašine za uređenje terena,0.7242,1230,Kolica za građevinski otpad,0.7096,1210,Građevinska grabulja,0.7096,1210
8678,Fruit Press and Fruit Crusher,1347,Berač voća,Baštenski alati,0.7239,1319,Usisivač za lišće,0.5538,1317,Duvač lišća,0.5078,1387
9423,Hand controller,1155,Ručni kontroler,Video igre i konzole,0.7227,1086,Regulator šarki,0.6837,1089,Udarni odvijač,0.6578,
8734,Oil Change,1610,Menjanje ulja,Alati za radionicu,0.7224,1225,Gasni aparat za zavarivanje,0.3953,1058,Ostalo u brušenju,0.3652,
